country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",09-08-2026 14:00:00,22.06631475,83.33820077,NH3,1,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",09-08-2026 14:00:00,22.06631475,83.33820077,OZONE,14,23,18
India,Delhi,Delhi,"ITO, Delhi - CPCB",09-08-2026 14:00:00,28.628624,77.24106,PM10,23,133,80
India,Delhi,Delhi,"ITO, Delhi - CPCB",09-08-2026 14:00:00,28.628624,77.24106,NH3,3,6,5
India,Delhi,Delhi,"ITO, Delhi - CPCB",09-08-2026 14:00:00,28.628624,77.24106,OZONE,27,35,31
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-08-2026 14:00:00,28.674045,77.131023,NH3,2,4,4
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",09-08-2026 14:00:00,28.674045,77.131023,CO,23,44,31
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-08-2026 14:00:00,28.6514781,77.1473105,PM2.5,25,52,38
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",09-08-2026 14:00:00,28.6514781,77.1473105,SO2,2,44,21
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",09-08-2026 14:00:00,28.636429,77.201067,PM10,8,135,83
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-08-2026 14:00:00,26.2271665,84.3570427,PM10,95,112,105
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-08-2026 14:00:00,26.2271665,84.3570427,CO,67,75,70
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,OZONE,1,11,5
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,SO2,1,19,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,CO,20,21,20
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,OZONE,10,11,11
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",09-08-2026 14:00:00,21.371751,81.664929,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",09-08-2026 14:00:00,21.258815,81.578979,NH3,4,4,4
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",09-08-2026 14:00:00,21.258815,81.578979,SO2,4,7,5
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",09-08-2026 14:00:00,21.237755,81.705301,CO,10,18,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",09-08-2026 14:00:00,25.859655,85.77944,PM10,4,107,37
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",09-08-2026 14:00:00,25.859655,85.77944,NH3,1,2,1
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",09-08-2026 14:00:00,24.952822,84.002396,NH3,2,5,3
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-08-2026 14:00:00,26.2271665,84.3570427,PM10,95,112,105
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",09-08-2026 14:00:00,26.2271665,84.3570427,CO,67,75,70
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",09-08-2026 14:00:00,30.719859,76.738637,OZONE,1,11,5
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,SO2,1,19,10
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,CO,20,21,20
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",09-08-2026 14:00:00,21.185571,81.343175,OZONE,10,11,11
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",09-08-2026 14:00:00,21.194815,81.31477,NO2,3,8,5
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",09-08-2026 14:00:00,21.194815,81.31477,NH3,4,5,5
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",09-08-2026 14:00:00,21.224231,81.40835,NH3,5,8,7
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",09-08-2026 14:00:00,21.224231,81.40835,SO2,8,22,11
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",09-08-2026 14:00:00,22.08815,82.13737,PM2.5,5,57,23
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",09-08-2026 14:00:00,22.08815,82.13737,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",09-08-2026 14:00:00,25.265194,87.012947,PM10,21,383,58
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",09-08-2026 14:00:00,25.265194,87.012947,NH3,1,8,3
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",09-08-2026 14:00:00,25.265194,87.012947,OZONE,8,47,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",09-08-2026 14:00:00,25.251013,86.989001,NO2,9,14,12
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-08-2026 14:00:00,22.368195,82.746431,NO2,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",09-08-2026 14:00:00,22.368195,82.746431,CO,7,7,7
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",09-08-2026 14:00:00,22.12665,83.483212,SO2,5,16,12
